player_id,x,y,cluster,name,position,archetype
5213.0,-0.5627235,-3.0272698,3,Gerard Piqué Bernabéu,Right Center Back,Possession system elite
10609.0,-0.51268286,-3.0629983,3,Jérémy Mathieu,Left Center Back,Possession system elite
5216.0,0.6750565,-2.5479362,4,Andrés Iniesta Luján,Left Center Midfield,Creative playmaker
5503.0,0.5614605,-3.2546465,3,Lionel Andrés Messi Cuccittini,Right Wing,Possession system elite
11179.0,13.769799,6.3349624,0,Iker Casillas Fernández,Goalkeeper,Shot-stopper
5246.0,2.8108134,-0.6254018,4,Luis Alberto Suárez Díaz,Center Forward,Creative playmaker
5211.0,-0.16965893,-3.2240222,3,Jordi Alba Ramos,Left Back,Possession system elite
20016.0,-1.2767363,-2.1143668,3,Kléper Laveran Lima Ferreira,Right Center Back,Possession system elite
5201.0,-1.5902132,-1.4655676,3,Sergio Ramos García,Left Center Back,Possession system elite
5506.0,-0.9109189,-2.3376055,3,Javier Alejandro Mascherano,Left Center Back,Possession system elite
5574.0,1.1398842,0.046168633,5,Toni Kroos,Center Defensive Midfield,Wide progressive
5721.0,0.40706605,-0.629649,-1,Daniel Carvajal Ramos,Right Back,Uncategorised
4324.0,0.64850616,-2.3378344,4,Daniel Alves da Silva,Right Back,Creative playmaker
6399.0,1.6357738,-1.834472,4,Gareth Frank Bale,Right Wing,Creative playmaker
5463.0,0.4686341,-2.2758796,4,Luka Modrić,Right Center Midfield,Creative playmaker
4926.0,1.6662656,-1.8193742,4,Francisco Román Alarcón Suárez,Left Center Midfield,Creative playmaker
5470.0,0.95185614,-2.2136593,4,Ivan Rakitić,Right Center Midfield,Creative playmaker
4691.0,15.781542,1.7612545,0,Claudio Andrés Bravo Muñoz,Goalkeeper,Shot-stopper
5552.0,-0.27489474,-3.0906754,3,Marcelo Vieira da Silva Júnior,Left Back,Possession system elite
4320.0,0.8256158,-3.1232128,3,Neymar da Silva Santos Junior,Left Wing,Possession system elite
19677.0,2.667506,-0.45969656,4,Karim Benzema,Center Forward,Creative playmaker
5207.0,0.71624327,-3.175674,3,Cristiano Ronaldo dos Santos Aveiro,Left Wing,Possession system elite
5485.0,-1.5496308,-1.990334,3,Raphaël Varane,Right Center Back,Possession system elite
5203.0,1.0430373,-2.0177996,4,Sergio Busquets i Burgos,Center Defensive Midfield,Creative playmaker
20131.0,-0.06656857,-3.2303467,3,Xavier Hernández Creus,Left Center Midfield,Possession system elite
3990.0,1.7186818,-1.6879821,4,Jesé Rodríguez Ruiz,Left Wing,Creative playmaker
6998.0,1.3841405,-2.3290703,4,Rafael Alcântara do Nascimento,Right Center Midfield,Creative playmaker
3637.0,-0.16601077,2.5850074,6,Grzegorz Krychowiak,Left Defensive Midfield,Defensive anchor
6672.0,-0.2737329,2.6343484,6,Jorge Andújar Moreno,Right Back,Defensive anchor
27111.0,15.3499155,2.7926395,0,António Alberto Bastos Pimparel,Goalkeeper,Shot-stopper
5504.0,0.16635707,-0.7434811,4,Éver Maximiliano David Banega,Center Attacking Midfield,Creative playmaker
7909.0,-2.0028653,0.74127525,10,Nicolás Martín Pareja,Right Center Back,Aerial commander
10881.0,0.8823495,4.4631696,6,Diogo José Rosário Gomes Figueiras,Right Back,Defensive anchor
6841.0,2.659656,4.037644,5,Víctor Machín Pérez,Right Wing,Wide progressive
6825.0,-2.2127054,1.9621139,-1,Daniel Filipe Martins Carriço,Left Center Back,Uncategorised
6400.0,1.0368289,-2.1249952,4,Aleix Vidal Parreu,Right Back,Creative playmaker
5688.0,2.0702446,6.7297354,2,Carlos Arturo Bacca Ahumada,Center Forward,Box-to-box engine
6609.0,1.9567183,2.0029697,5,Denis Suárez Fernández,Left Midfield,Wide progressive
3726.0,-0.2668695,11.717364,1,Gerard Deulofeu Lázaro,Right Wing,Generalist
3958.0,1.5284704,-2.1309683,4,Pedro Eliezer Rodríguez Ledesma,Right Wing,Creative playmaker
5217.0,2.7936518,2.3581977,5,Iago Aspas Juncal,Center Forward,Wide progressive
22102.0,0.5677307,-2.4231992,4,Adriano Correia Claro,Left Back,Creative playmaker
6401.0,2.4254024,6.2692294,2,Kevin Gameiro,Center Forward,Box-to-box engine
6904.0,-3.8665483,3.4617426,8,Sergio Sánchez Ortega,Right Center Back,Stopper CB
6569.0,-1.0596173,0.6667612,9,Roberto José Rosales Altuve,Right Back,Attacking fullback
26669.0,-2.86082,1.599364,10,Weligton Róbson Pena de Oliveira,Left Center Back,Aerial commander
7068.0,-1.1048926,-2.491542,3,Marc Bartra Aregall,Right Center Back,Possession system elite
25859.0,-0.07516476,-0.48205414,5,Sérgio Paulo Barbosa Valente,Right Midfield,Wide progressive
26103.0,14.220517,4.9401355,0,Idriss Carlos Kameni,Goalkeeper,Shot-stopper
8234.0,-0.20857534,3.4232829,6,Ignacio Camacho Barnola,Left Defensive Midfield,Defensive anchor
6829.0,2.160974,5.3224998,2,Samuel Castillejo Azuaga,Left Midfield,Box-to-box engine
6563.0,2.9596756,3.1150317,5,Juan Pablo Añor Acosta,Right Midfield,Wide progressive
3236.0,0.56249183,10.443752,1,Sergi Darder Moll,Right Center Midfield,Generalist
27318.0,1.2641193,-2.1699314,4,Douglas Pereira dos Santos,Right Back,Creative playmaker
6878.0,-1.7728276,3.9606133,7,Miguel Torres Gómez,Left Back,Aggressive stopper
3302.0,2.7036076,0.3030066,4,Nordin Amrabat,Right Center Forward,Creative playmaker
3508.0,3.1010094,4.2835684,5,Sandro Ramírez Castillo,Right Wing,Wide progressive
6695.0,1.2731185,9.026999,1,Juan Miguel Jiménez López,Left Center Forward,Generalist
7782.0,2.2193365,0.8173804,4,Luis Alberto Romero Alconchel,Center Attacking Midfield,Creative playmaker
6616.0,2.6090424,0.48057646,4,Munir El Haddadi Mohamed,Right Wing,Creative playmaker
6580.0,1.4242069,2.3850267,5,José Luis García del Pozo,Left Defensive Midfield,Wide progressive
24506.0,-0.05350253,10.664359,1,Álvaro Arroyo Martínez,Right Back,Generalist
6625.0,14.484421,4.494272,0,Vicente Guaita Panadero,Goalkeeper,Shot-stopper
25881.0,-0.25743338,4.3909245,6,Juan Antonio Rodríguez Villamuela,Right Defensive Midfield,Defensive anchor
27054.0,-0.64721847,2.704801,6,Roberto Lago Soto,Left Back,Defensive anchor
11813.0,1.9363881,5.1057596,2,Emiliano Buendía,Center Attacking Midfield,Box-to-box engine
17054.0,-2.4743884,3.4290202,8,Emiliano Daniel Velázquez Maldonado,Right Center Back,Stopper CB
6614.0,-3.0448503,0.577523,10,Alexis Ruano Delgado,Left Center Back,Aerial commander
6745.0,0.61519337,4.6927032,6,Mehdi Lacen,Left Defensive Midfield,Defensive anchor
6907.0,2.344934,2.9808006,5,Pedro León Sánchez Gil,Right Wing,Wide progressive
27179.0,1.8045213,8.080817,1,Fredy Hinestroza Arias,Center Attacking Midfield,Generalist
6379.0,0.6830356,-3.0227766,3,Sergi Roberto Carnicer,Right Back,Possession system elite
6780.0,0.82726556,10.428921,1,Iván López Álvarez,Center Forward,Generalist
