matrix_row,player_id,label,archetype,name,position,x,y
0,5213,3,Possession system elite,Gerard Piqué Bernabéu,Right Center Back,-0.5627235,-3.0272698
1,10609,3,Possession system elite,Jérémy Mathieu,Left Center Back,-0.51268286,-3.0629983
2,5216,4,Creative playmaker,Andrés Iniesta Luján,Left Center Midfield,0.6750565,-2.5479362
3,5503,3,Possession system elite,Lionel Andrés Messi Cuccittini,Right Wing,0.5614605,-3.2546465
4,11179,0,Shot-stopper,Iker Casillas Fernández,Goalkeeper,13.769799,6.3349624
5,5246,4,Creative playmaker,Luis Alberto Suárez Díaz,Center Forward,2.8108134,-0.6254018
6,5211,3,Possession system elite,Jordi Alba Ramos,Left Back,-0.16965893,-3.2240222
7,20016,3,Possession system elite,Kléper Laveran Lima Ferreira,Right Center Back,-1.2767363,-2.1143668
8,5201,3,Possession system elite,Sergio Ramos García,Left Center Back,-1.5902132,-1.4655676
9,5506,3,Possession system elite,Javier Alejandro Mascherano,Left Center Back,-0.9109189,-2.3376055
10,5574,5,Wide progressive,Toni Kroos,Center Defensive Midfield,1.1398842,0.046168633
11,5721,-1,Uncategorised,Daniel Carvajal Ramos,Right Back,0.40706605,-0.629649
12,4324,4,Creative playmaker,Daniel Alves da Silva,Right Back,0.64850616,-2.3378344
13,6399,4,Creative playmaker,Gareth Frank Bale,Right Wing,1.6357738,-1.834472
14,5463,4,Creative playmaker,Luka Modrić,Right Center Midfield,0.4686341,-2.2758796
15,4926,4,Creative playmaker,Francisco Román Alarcón Suárez,Left Center Midfield,1.6662656,-1.8193742
16,5470,4,Creative playmaker,Ivan Rakitić,Right Center Midfield,0.95185614,-2.2136593
17,4691,0,Shot-stopper,Claudio Andrés Bravo Muñoz,Goalkeeper,15.781542,1.7612545
18,5552,3,Possession system elite,Marcelo Vieira da Silva Júnior,Left Back,-0.27489474,-3.0906754
19,4320,3,Possession system elite,Neymar da Silva Santos Junior,Left Wing,0.8256158,-3.1232128
20,19677,4,Creative playmaker,Karim Benzema,Center Forward,2.667506,-0.45969656
21,5207,3,Possession system elite,Cristiano Ronaldo dos Santos Aveiro,Left Wing,0.71624327,-3.175674
22,5485,3,Possession system elite,Raphaël Varane,Right Center Back,-1.5496308,-1.990334
23,5203,4,Creative playmaker,Sergio Busquets i Burgos,Center Defensive Midfield,1.0430373,-2.0177996
24,20131,3,Possession system elite,Xavier Hernández Creus,Left Center Midfield,-0.06656857,-3.2303467
25,3990,4,Creative playmaker,Jesé Rodríguez Ruiz,Left Wing,1.7186818,-1.6879821
26,6998,4,Creative playmaker,Rafael Alcântara do Nascimento,Right Center Midfield,1.3841405,-2.3290703
27,3637,6,Defensive anchor,Grzegorz Krychowiak,Left Defensive Midfield,-0.16601077,2.5850074
28,6672,6,Defensive anchor,Jorge Andújar Moreno,Right Back,-0.2737329,2.6343484
29,27111,0,Shot-stopper,António Alberto Bastos Pimparel,Goalkeeper,15.3499155,2.7926395
30,5504,4,Creative playmaker,Éver Maximiliano David Banega,Center Attacking Midfield,0.16635707,-0.7434811
31,7909,10,Aerial commander,Nicolás Martín Pareja,Right Center Back,-2.0028653,0.74127525
32,10881,6,Defensive anchor,Diogo José Rosário Gomes Figueiras,Right Back,0.8823495,4.4631696
33,6841,5,Wide progressive,Víctor Machín Pérez,Right Wing,2.659656,4.037644
34,6825,-1,Uncategorised,Daniel Filipe Martins Carriço,Left Center Back,-2.2127054,1.9621139
35,6400,4,Creative playmaker,Aleix Vidal Parreu,Right Back,1.0368289,-2.1249952
36,5688,2,Box-to-box engine,Carlos Arturo Bacca Ahumada,Center Forward,2.0702446,6.7297354
37,6609,5,Wide progressive,Denis Suárez Fernández,Left Midfield,1.9567183,2.0029697
38,3726,1,Generalist,Gerard Deulofeu Lázaro,Right Wing,-0.2668695,11.717364
39,3958,4,Creative playmaker,Pedro Eliezer Rodríguez Ledesma,Right Wing,1.5284704,-2.1309683
40,5217,5,Wide progressive,Iago Aspas Juncal,Center Forward,2.7936518,2.3581977
41,22102,4,Creative playmaker,Adriano Correia Claro,Left Back,0.5677307,-2.4231992
42,6401,2,Box-to-box engine,Kevin Gameiro,Center Forward,2.4254024,6.2692294
43,6904,8,Stopper CB,Sergio Sánchez Ortega,Right Center Back,-3.8665483,3.4617426
44,6569,9,Attacking fullback,Roberto José Rosales Altuve,Right Back,-1.0596173,0.6667612
45,26669,10,Aerial commander,Weligton Róbson Pena de Oliveira,Left Center Back,-2.86082,1.599364
46,7068,3,Possession system elite,Marc Bartra Aregall,Right Center Back,-1.1048926,-2.491542
47,25859,5,Wide progressive,Sérgio Paulo Barbosa Valente,Right Midfield,-0.07516476,-0.48205414
48,26103,0,Shot-stopper,Idriss Carlos Kameni,Goalkeeper,14.220517,4.9401355
49,8234,6,Defensive anchor,Ignacio Camacho Barnola,Left Defensive Midfield,-0.20857534,3.4232829
50,6829,2,Box-to-box engine,Samuel Castillejo Azuaga,Left Midfield,2.160974,5.3224998
51,6563,5,Wide progressive,Juan Pablo Añor Acosta,Right Midfield,2.9596756,3.1150317
52,3236,1,Generalist,Sergi Darder Moll,Right Center Midfield,0.56249183,10.443752
53,27318,4,Creative playmaker,Douglas Pereira dos Santos,Right Back,1.2641193,-2.1699314
54,6878,7,Aggressive stopper,Miguel Torres Gómez,Left Back,-1.7728276,3.9606133
55,3302,4,Creative playmaker,Nordin Amrabat,Right Center Forward,2.7036076,0.3030066
56,3508,5,Wide progressive,Sandro Ramírez Castillo,Right Wing,3.1010094,4.2835684
57,6695,1,Generalist,Juan Miguel Jiménez López,Left Center Forward,1.2731185,9.026999
58,7782,4,Creative playmaker,Luis Alberto Romero Alconchel,Center Attacking Midfield,2.2193365,0.8173804
59,6616,4,Creative playmaker,Munir El Haddadi Mohamed,Right Wing,2.6090424,0.48057646
60,6580,5,Wide progressive,José Luis García del Pozo,Left Defensive Midfield,1.4242069,2.3850267
61,24506,1,Generalist,Álvaro Arroyo Martínez,Right Back,-0.05350253,10.664359
62,6625,0,Shot-stopper,Vicente Guaita Panadero,Goalkeeper,14.484421,4.494272
63,25881,6,Defensive anchor,Juan Antonio Rodríguez Villamuela,Right Defensive Midfield,-0.25743338,4.3909245
